front,back,tags
"What is **ZTNA**?","Zero Trust Network Access—app-level access","zero-trust-architecture|terminology"
"What is **PEP**?","Policy Enforcement Point","zero-trust-architecture|terminology"
"What is **mTLS**?","Mutual TLS—both sides present certificates","zero-trust-architecture|terminology"
"What is **Microsegmentation**?","Fine-grained network/policy isolation","zero-trust-architecture|terminology"
"What is **Device posture**?","Health signals (patch level, encryption)","zero-trust-architecture|terminology"
"What is **BeyondCorp**?","Google's zero-trust implementation model","zero-trust-architecture|terminology"
"What is **Least privilege**?","Minimum access required for task","zero-trust-architecture|terminology"
"What is **East-west traffic**?","Service-to-service internal traffic","zero-trust-architecture|terminology"
"What is **North-south traffic**?","Client-to-service edge traffic","zero-trust-architecture|terminology"
"What is **Continuous authorization**?","Re-evaluate risk during session","zero-trust-architecture|terminology"
"What is **Implicit trust zone**?","Legacy pattern zero trust removes","zero-trust-architecture|terminology"
"Summarize the core idea of **Zero Trust Architecture**.","**Zero trust architecture (ZTA)** is a security model that eliminates implicit trust based on network location—""inside the corporate VPN""—and instead requires **continuous verification** of identity, device posture, and authorization for every access request. The mantra **""never trust, always verify""** means every transaction is authenticated, authorized, encrypted, and logged regardless of whether it originates from headquarters, a coffee shop, or a compromised subnet.","zero-trust-architecture|summary"
"What is **Data catalog**?","Searchable inventory of datasets and metadata","data-governance-and-lineage|terminology"
"What is **Lineage**?","Directed graph of data dependencies","data-governance-and-lineage|terminology"
"What is **Data steward**?","Role accountable for domain data quality","data-governance-and-lineage|terminology"
"What is **ABAC**?","Attribute-based access control","data-governance-and-lineage|terminology"
"What is **Column mask**?","Dynamic redaction (e.g., hash email)","data-governance-and-lineage|terminology"
"What is **Row filter**?","Predicate limiting visible rows per role","data-governance-and-lineage|terminology"
"What is **OpenLineage**?","Open standard for lineage event emission","data-governance-and-lineage|terminology"
"What is **Data contract**?","Schema, SLA, and semantic guarantees","data-governance-and-lineage|terminology"
"What is **Data product**?","Owned, documented, consumable dataset","data-governance-and-lineage|terminology"
"What is **Certification**?","Human/automated approval for production use","data-governance-and-lineage|terminology"
"Summarize the core idea of **Data Governance and Lineage**.","**Data governance** defines who can access what data, under which policies, with auditable accountability. **Data lineage** traces how data flows from sources through transformations to consumption—enabling impact analysis, debugging, and regulatory evidence. Together they form the **control plane** of modern data platforms, without which lakehouses devolve into unsearchable swamps that fail GDPR, SOX, and internal risk reviews.","data-governance-and-lineage|summary"
"What is **Open table format**?","Specification for table metadata, snapshots, and file layout (Iceberg, Delta, Hudi)","data-lakehouse-architecture|terminology"
"What is **Medallion architecture**?","Bronze (raw) → silver (cleaned) → gold (curated) layering","data-lakehouse-architecture|terminology"
"What is **Snapshot**?","Point-in-time consistent view of table files","data-lakehouse-architecture|terminology"
"What is **Compaction**?","Merging small files into larger objects for scan efficiency","data-lakehouse-architecture|terminology"
"What is **Partition**?","Logical subdivision (often by date/region) affecting pruning","data-lakehouse-architecture|terminology"
"What is **Manifest / metadata file**?","Catalog of data files belonging to a snapshot","data-lakehouse-architecture|terminology"
"What is **COPY-ON-WRITE (COW)**?","Updates rewrite data files (Iceberg default for many ops)","data-lakehouse-architecture|terminology"
"What is **MERGE-ON-READ (MOR)**?","Updates logged separately; compacted later (Hudi MOR)","data-lakehouse-architecture|terminology"
"What is **Z-ordering**?","Multi-dimensional clustering for scan pruning (Delta)","data-lakehouse-architecture|terminology"
"What is **Data skipping**?","Min/max statistics in metadata to avoid reading irrelevant files","data-lakehouse-architecture|terminology"
"Summarize the core idea of **Data Lakehouse Architecture**.","A **data lakehouse** unifies the low-cost, schema-flexible storage of a **data lake** (object storage such as S3, GCS, or ADLS) with the **transactional semantics**, **schema enforcement**, and **performance optimizations** traditionally associated with a **data warehouse**. The architectural breakthrough is not a single product—it is the **open table format** layer (Apache Iceberg, Delta Lake, Apache Hudi) that sits above Parquet/ORC files and provides **ACID transactions**, **time travel**, **","data-lakehouse-architecture|summary"
"What is **Event time**?","Timestamp embedded in event payload","stream-and-batch-processing|terminology"
"What is **Processing time**?","Wall clock when processor observes event","stream-and-batch-processing|terminology"
"What is **Watermark**?","Lower bound on unseen event times in stream","stream-and-batch-processing|terminology"
"What is **Window**?","Bounded slice for aggregation (tumbling, sliding, session)","stream-and-batch-processing|terminology"
"What is **Allowed lateness**?","Grace period after watermark for late events","stream-and-batch-processing|terminology"
"What is **Checkpoint**?","Flink periodic consistent snapshot of state + offsets","stream-and-batch-processing|terminology"
"What is **Micro-batch**?","Spark Streaming divides stream into small batch jobs","stream-and-batch-processing|terminology"
"What is **Side output**?","Route late or invalid records to separate stream","stream-and-batch-processing|terminology"
"What is **Retraction**?","Update prior emission when late data changes result","stream-and-batch-processing|terminology"
"What is **Changelog stream**?","Table represented as insert/update/delete events","stream-and-batch-processing|terminology"
"Summarize the core idea of **Stream and Batch Processing**.","**Stream processing** continuously transforms unbounded event streams with low latency; **batch processing** applies transformations to bounded datasets with high throughput and simpler fault tolerance. Modern data platforms rarely choose one exclusively—they implement **unified engines** (Apache Flink, Spark Structured Streaming) that expose similar APIs for both, while architectural patterns (**Lambda**, **Kappa**) describe how organizations combine speed and correctness layers.","stream-and-batch-processing|summary"
